,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
657,892814968525444278,https://www.airbnb.com/rooms/892814968525444278,20240911015516,2024-09-11,city scrape,Luminosa habitación en barrio Prosperidad,"Enjoy the simplicity of this quiet, central home.",,https://a0.muscache.com/pictures/miso/Hosting-892814968525444278/original/9263d546-cf3c-4a5c-a6f0-2b845b9e64b8.jpeg,478216497,https://www.airbnb.com/users/show/478216497,Gregory,2022-09-05,,,a few days or more,20%,26%,f,https://a0.muscache.com/im/pictures/user/22601b3b-9f62-4c6f-aa93-7a3fc6887edf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/22601b3b-9f62-4c6f-aa93-7a3fc6887edf.jpg?aki_policy=profile_x_medium,,1.0,2.0,['phone'],t,t,,Prosperidad,Chamartín,40.44298,-3.67094,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Air conditioning"", ""Hair dryer"", ""Wifi"", ""Exterior security cameras on property"", ""Iron"", ""Dedicated workspace""]",$26.00,4,30,4,4,30,30,4.0,30.0,,t,3,24,54,329,2024-09-11,2,0,0,2023-05-27,2023-06-03,3.5,3.5,2.5,4.5,4.5,4.5,4.0,,f,1,0,1,0,0.13
2033,1213637708373946923,https://www.airbnb.com/rooms/1213637708373946923,20240911015516,2024-09-11,city scrape,Maravilloso Apt para 7px en el centro Calle Toledo,"Several Worlds offers you this wonderful apartment is on the 6th Floor access by elevator. Includes 3 double beds, sofa bed,   1 bathroom, air conditioning, flat TV,  towels for all guests, linens, Wifi,   dishwasher, basic kitchen utensils, nespresso machine, tender, iron and hair dryer. Our apartment has a total of approximately 80 m2 .",,https://a0.muscache.com/pictures/miso/Hosting-1213637708373946923/original/d7598f36-2a31-4cf3-9db3-9ead02b5f0d8.png,555643497,https://www.airbnb.com/users/show/555643497,Tolesanta Real Estate,2024-01-10,,,within an hour,98%,100%,f,https://a0.muscache.com/im/pictures/user/User-555643497/original/51c79489-5216-465a-ac54-64cbd99ca33d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-555643497/original/51c79489-5216-465a-ac54-64cbd99ca33d.jpeg?aki_policy=profile_x_medium,,20.0,26.0,"['email', 'phone']",t,t,,Palacio,Centro,40.40962882102761,-3.709877530020016,Entire rental unit,Entire home/apt,7,1.5,1.5 baths,1.0,4.0,"[""Dining table"", ""Hair dryer"", ""TV"", ""Hot water kettle"", ""Shower gel"", ""Cleaning products"", ""Kitchen"", ""Other stove"", ""Coffee maker: Nespresso"", ""Paid parking off premises"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Microwave"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Hot water"", ""Bed linens"", ""Self check-in"", ""Drying rack for clothing"", ""Keypad"", ""Iron"", ""Dedicated workspace""]",$204.00,1,365,1,1,999,999,1.0,999.0,,t,16,43,73,229,2024-09-11,4,4,3,2024-08-11,2024-08-28,3.5,3.5,2.5,3.75,3.75,3.75,3.0,,t,20,20,0,0,3.75
2306,1200135831403325891,https://www.airbnb.com/rooms/1200135831403325891,20240911015516,2024-09-11,city scrape,Apartamento acogedor,This stylish home is perfect for solo trips or couples,,https://a0.muscache.com/pictures/hosting/Hosting-1200135831403325891/original/a26c55d3-bd70-438f-90a9-d5d439f6e117.jpeg,491146093,https://www.airbnb.com/users/show/491146093,Andre,2022-12-12,,,within a few hours,100%,36%,t,https://a0.muscache.com/im/pictures/user/User-491146093/original/0d666bfd-4c5a-4d4f-8a77-4e9a6ea90a78.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-491146093/original/0d666bfd-4c5a-4d4f-8a77-4e9a6ea90a78.jpeg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,t,,Casco Histórico de Vallecas,Villa de Vallecas,40.3616157921615,-3.5951182991266246,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Pets allowed"", ""TV"", ""Exterior security cameras on property"", ""Pool"", ""Kitchen"", ""Dedicated workspace""]",$65.00,3,5,2,3,5,5,3.0,5.0,,t,5,5,5,5,2024-09-11,1,1,1,2024-08-18,2024-08-18,4.0,4.0,2.0,5.0,5.0,4.0,3.0,,f,2,1,1,0,1.0
5805,1176556911706205250,https://www.airbnb.com/rooms/1176556911706205250,20240911015516,2024-09-11,previous scrape,Cómodo apartamento cerca de Sol,"Apartment with an excellent location, it is located a few meters from the Sol gate, the opera house and the Plaza Mayor. Great for sharing with family or friends. <br /><br />There is ample space that integrates the living room, dining room and kitchen, the latter equipped with a washing machine, fridge, and kitchen utensils that make your stay pleasant. It has two rooms with double beds, each with its own en-suite bathroom and one of them with a spacious walk-in closet.",,https://a0.muscache.com/pictures/miso/Hosting-1176556911706205250/original/238029fa-9c1e-4a3a-8b17-760e53909bfe.jpeg,129996032,https://www.airbnb.com/users/show/129996032,Yuni,2017-05-12,"Havana, Cuba","Divertida, aventurera, me encanta viajar, conocer nuevos lugares, amigos y compartir nuevas experiencias..",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/97ec5a1a-5887-4f7b-a4ed-d523cc28a4c0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/97ec5a1a-5887-4f7b-a4ed-d523cc28a4c0.jpg?aki_policy=profile_x_medium,,2.0,2.0,"['email', 'phone']",t,t,,Sol,Centro,40.41627717419473,-3.7076537422431537,Entire rental unit,Entire home/apt,4,,2 baths,2.0,,"[""Heating"", ""Dining table"", ""Hair dryer"", ""Extra pillows and blankets"", ""Freezer"", ""TV"", ""Wine glasses"", ""Kitchen"", ""Clothing storage"", ""Sound system"", ""Wifi"", ""Hangers"", ""Cooking basics"", ""Blender"", ""Microwave"", ""Room-darkening shades"", ""Stove"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Trash compactor"", ""Washer"", ""Hot water"", ""Coffee maker"", ""Oven"", ""Bathtub"", ""Elevator"", ""Iron"", ""Dedicated workspace""]",,30,90,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2024-09-11,1,1,0,2024-08-09,2024-08-09,4.0,3.0,1.0,5.0,5.0,5.0,1.0,,t,1,1,0,0,0.88
6587,30198719,https://www.airbnb.com/rooms/30198719,20240911015516,2024-09-11,previous scrape,Deluxe apartment with terrace in Recoletos,,,https://a0.muscache.com/pictures/4a65610c-bbbf-4ceb-b305-e8f20192723b.jpg,75125093,https://www.airbnb.com/users/show/75125093,Greta,2016-06-01,"Madrid, Spain","Soy una persona que el gusta viajar, tranquila y ordenada",,,,f,https://a0.muscache.com/im/pictures/user/ec26b864-b44f-48d4-b1d9-c71d2b8483e1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ec26b864-b44f-48d4-b1d9-c71d2b8483e1.jpg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,t,,Recoletos,Salamanca,40.42528,-3.68606,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Air conditioning"", ""Dryer"", ""Heating"", ""Wifi"", ""Hangers"", ""TV"", ""Washer"", ""Essentials"", ""Elevator"", ""Hot water"", ""Kitchen""]",,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-09-11,1,0,0,2019-01-02,2019-01-02,4.0,5.0,2.0,5.0,5.0,5.0,4.0,,t,1,1,0,0,0.01
6859,1153479605934274776,https://www.airbnb.com/rooms/1153479605934274776,20240911015516,2024-09-11,city scrape,Duque de Rivas-2B-3,Beautiful Room in shared flat (4 rooms + 1 shared full bathroom) with young professionals from 18 to 45 years old located in an unbeatable area of Madrid.,,https://a0.muscache.com/pictures/miso/Hosting-1153479605934274776/original/8219d722-0b41-493a-8c3b-fe3165566db0.jpeg,576464572,https://www.airbnb.com/users/show/576464572,Maria Mercedes,2024-05-08,"Madrid, Spain","Contamos con más de 500 habitaciones en toda la zona céntrica de la ciudad, nos dedicamos a alojar a jóvenes estudiantes o profesionales de menos de 35 años por periodos cortos o largos de tiempo.

Las casas están totalmente equipadas al igual que las habitaciones con mesa de escritorio, silla, armario, cama, colchón, lampara de noche  y algunos extras para mejorar la comodidad.",within a few hours,89%,72%,f,https://a0.muscache.com/im/pictures/user/User-576464572/original/2bbe79a2-f241-4d9d-bb4a-e30045a54c97.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-576464572/original/2bbe79a2-f241-4d9d-bb4a-e30045a54c97.jpeg?aki_policy=profile_x_medium,,186.0,191.0,['phone'],t,f,,Embajadores,Centro,40.41223771136074,-3.7065828158497593,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,"[""Heating"", ""Kitchen"", ""Wifi"", ""Hangers"", ""TV"", ""Cooking basics"", ""Washer"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Clothing storage"", ""Bed linens"", ""Dedicated workspace""]",$25.00,15,365,15,15,365,365,15.0,365.0,,t,0,4,34,124,2024-09-11,1,1,0,2024-07-21,2024-07-21,4.0,5.0,2.0,3.0,3.0,5.0,4.0,,f,176,0,175,1,0.57
8929,689561278702045979,https://www.airbnb.com/rooms/689561278702045979,20240911015516,2024-09-11,previous scrape,Ático terraza Madrid M (VAL37),"The <b>apartment in Madrid</b> has 1 bedrooms and capacity for 4 people. <br>Accommodation  of  45 m². <br>The accommodation is equipped with the following items: lift, garden furniture, 15 m² terrace, iron, hair dryer, single boiler on gas, air-conditioned, 1 fan, 1 TV, tv satellite, radio..",,https://a0.muscache.com/pictures/prohost-api/Hosting-689561278702045979/original/b8b56dc4-573f-46b3-8189-1e4acfd41e39.jpeg,459731394,https://www.airbnb.com/users/show/459731394,Fernando,2022-05-18,,,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/a3251ec2-e90a-427d-9411-006ec4f3c683.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a3251ec2-e90a-427d-9411-006ec4f3c683.jpg?aki_policy=profile_x_medium,,16.0,16.0,"['email', 'phone']",t,t,,Universidad,Centro,40.42274,-3.70265,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""Heating"", ""Hair dryer"", ""Pets allowed"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Cooking basics"", ""Microwave"", ""Stove"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Essentials"", ""Crib"", ""Bed linens"", ""Coffee maker"", ""Oven"", ""Elevator"", ""Iron"", ""Freezer""]",,1,1125,1,2,47,1125,1.1,1040.7,,t,0,0,0,27,2024-09-11,3,2,0,2023-01-23,2024-05-10,3.33,3.33,2.67,4.33,4.0,4.33,3.0,,f,15,15,0,0,0.15
8951,930652386386391005,https://www.airbnb.com/rooms/930652386386391005,20240911015516,2024-09-11,previous scrape,Piso Exterior en Adelfas- Retiro,"Spacious living room with tv, SOFA BED and AIR CONDITIONING.<br /><br />American kitchen with OVEN, MICROWAVE, REFRIGERATOR, WASHING MACHINE, DISHWASHER, CERAMIC stove and a very complete kitchenware.<br /><br />Room with a 1.50 cm bed with a canapé, TV, air conditioning and very spacious with a built-in closet.<br /><br />Large bathroom <br /><br />Magnificent apartment with privileged location in Adelfas-Retiro, a 10-minute walk from El Retiro Park, Pacific metro lines and Conde Casal <br /><br />We rent with a seasonal contract",,https://a0.muscache.com/pictures/miso/Hosting-930652386386391005/original/a0cdf75f-aa3e-4561-a8c2-659b595e2b00.jpeg,518713670,https://www.airbnb.com/users/show/518713670,Bemadrid,2023-06-07,,Somos BEMADRID! Tu solución en alquiler temporal en Madrid por meses. Descubre la comodidad y flexibilidad de nuestras opciones de alquiler. Encuentra tu hogar ideal en la vibrante ciudad de Madrid con BEMADRID. Ofrecemos una amplia selección de alojamientos temporales. ¡Aprovecha tu estancia al máximo con nosotros! Visita nuestra página y reserva tu alojamiento temporal en Madrid hoy mismo,within a few hours,94%,55%,f,https://a0.muscache.com/im/pictures/user/e179fb84-6c8d-4553-bf35-a936c93df22d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e179fb84-6c8d-4553-bf35-a936c93df22d.jpg?aki_policy=profile_x_medium,,256.0,279.0,"['email', 'phone']",t,t,,Adelfas,Retiro,40.40242099085802,-3.6712807556829,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Air conditioning"", ""Wifi"", ""TV"", ""Washer"", ""Kitchen""]",,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,11,2024-09-11,1,1,0,2024-02-18,2024-02-18,5.0,1.0,1.0,5.0,1.0,1.0,1.0,,f,254,234,19,1,0.14
9349,16657013,https://www.airbnb.com/rooms/16657013,20240911015516,2024-09-11,city scrape,Double Room Shared Bathroom (2 single beds),"My place is close to Plaza Mayor, Mercado de San Miguel, Mercado de San Miguel Restaurant, and Catedral de la Almudena. My place is good for couples, solo adventurers, families (with kids), and big groups.",,https://a0.muscache.com/pictures/acfd6a07-1b0d-42d7-a242-a88f834434be.jpg,97914995,https://www.airbnb.com/users/show/97914995,Hostels MeetingPoint- Madrid,2016-10-04,"Madrid, Spain",,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/fff69bc6-c854-41f1-b434-efc797217150.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fff69bc6-c854-41f1-b434-efc797217150.jpg?aki_policy=profile_x_medium,,6.0,6.0,"['email', 'phone']",t,t,,Palacio,Centro,40.41518,-3.71217,Private room in hostel,Private room,2,0.0,0 shared baths,1.0,2.0,"[""Heating"", ""Pocket wifi"", ""Hair dryer"", ""Pets allowed"", ""Extra pillows and blankets"", ""First aid kit"", ""Exterior security cameras on property"", ""Kitchen"", ""Paid parking off premises"", ""Children\u2019s books and toys"", ""Wifi"", ""Building staff"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Microwave"", ""Stove"", ""Air conditioning"", ""Dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Lake access"", ""Washer"", ""Hot water"", ""Bed linens"", ""Coffee maker"", ""Self check-in"", ""Paid parking on premises"", ""Oven"", ""Fire extinguisher"", ""Iron""]",$83.00,1,365,1,1,5,365,1.0,193.7,,t,3,12,25,99,2024-09-11,3,0,0,2019-04-26,2023-07-09,3.67,4.0,2.67,4.67,3.67,5.0,4.0,,t,6,0,2,4,0.05
10410,924503368086788568,https://www.airbnb.com/rooms/924503368086788568,20240911015516,2024-09-11,city scrape,Hab con Terraza en Calle Atocha,"Spacious and bright room WITH DIRECT ACCESS TO the TERRACE in a WONDERFUL apartment in ATOCHA!<br />Fully renovated apartment and room with the best qualities!<br />Large closets, desk, plasma TV in the ROOM.<br />SPACIOUS and FULLY equipped kitchen with duplicate appliances (2 refrigerators, 2 microwave, 2 ceramic stoves, etc. ) and LARGE kitchen cabinets.<br />It has a LAUNDRY room.<br />3 SPACIOUS bathrooms to share.<br /><br />RENTED WITH SEASONAL CONTRACT",,https://a0.muscache.com/pictures/miso/Hosting-924503368086788568/original/08a2b0b6-ed99-49bb-a2a9-3c043a6bc70d.jpeg,518713670,https://www.airbnb.com/users/show/518713670,Bemadrid,2023-06-07,,Somos BEMADRID! Tu solución en alquiler temporal en Madrid por meses. Descubre la comodidad y flexibilidad de nuestras opciones de alquiler. Encuentra tu hogar ideal en la vibrante ciudad de Madrid con BEMADRID. Ofrecemos una amplia selección de alojamientos temporales. ¡Aprovecha tu estancia al máximo con nosotros! Visita nuestra página y reserva tu alojamiento temporal en Madrid hoy mismo,within a few hours,94%,55%,f,https://a0.muscache.com/im/pictures/user/e179fb84-6c8d-4553-bf35-a936c93df22d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e179fb84-6c8d-4553-bf35-a936c93df22d.jpg?aki_policy=profile_x_medium,,256.0,279.0,"['email', 'phone']",t,t,,Embajadores,Centro,40.41052392585715,-3.6980116451338376,Private room in rental unit,Private room,2,3.0,3 baths,1.0,2.0,"[""Wifi"", ""TV"", ""Washer"", ""Kitchen"", ""Dedicated workspace""]",$32.00,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,223,2024-09-11,3,3,0,2023-10-01,2024-07-04,3.33,3.33,2.67,4.33,2.33,4.33,3.0,,f,254,234,19,1,0.26
