,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
60,1064622390144559364,https://www.airbnb.com/rooms/1064622390144559364,20240911015516,2024-09-11,city scrape,Real Bites Accommodations Madrid,,,https://a0.muscache.com/pictures/miso/Hosting-1064622390144559364/original/2ec9d93d-faf2-4494-b7a9-effc703c0aab.jpeg,555335545,https://www.airbnb.com/users/show/555335545,Real Bites,2024-01-08,,,within a day,50%,100%,f,https://a0.muscache.com/im/pictures/user/56c99106-3a5a-4c8d-bc47-078630c2367f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/56c99106-3a5a-4c8d-bc47-078630c2367f.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Universidad,Centro,40.4258687,-3.7028858,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Wifi"", ""TV"", ""Courtyard view"", ""Kitchen""]",$98.00,3,365,1,2,365,365,1.0,365.0,,t,5,5,5,5,2024-09-11,1,1,0,2024-06-05,2024-06-05,3.0,3.0,3.0,5.0,4.0,4.0,3.0,,f,1,1,0,0,0.3
66,940388808122961011,https://www.airbnb.com/rooms/940388808122961011,20240911015516,2024-09-11,previous scrape,Ardemans VIII,"This ground-floor apartment is part of our Living Ardemans a residential building that provides a new way of living: your home, your workspace, and your community all in one place. Here you will find different common areas that will transform your daily routines into extraordinary ones, there is a coworking area and lounge which is perfect for working or relaxing with friends.",,https://a0.muscache.com/pictures/prohost-api/Hosting-940388808122961011/original/8e08ead3-bdc1-4862-851a-cd28b7165c49.jpeg,438136382,https://www.airbnb.com/users/show/438136382,Home Club,2021-12-30,"Madrid, Spain","At Home Club, all of our properties have been hand selected to ensure they meet our high standards for stylish interior design, state-of-the-art appliances, and premium amenities. Our team has thought of all the details when it comes to our homes, when you move in you’ll find everything from kitchenware to toiletries. Every reservation with us also includes 24/7 customer service so you can rest easy knowing our team is always available to help you. From the moment you call our reservations team, you will receive personalized care, including being either personally greeted by a Home Club team member or given comprehensive self-check-in instructions. Contact us today to reserve your move-in-ready home in the best neighborhoods of Spain. ",within a day,54%,46%,f,https://a0.muscache.com/im/pictures/user/70a3fe38-1c61-4d7a-9842-06853769231a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/70a3fe38-1c61-4d7a-9842-06853769231a.jpg?aki_policy=profile_x_medium,,272.0,339.0,"['email', 'phone']",t,t,,Guindalera,Salamanca,40.43595,-3.67547,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Air conditioning"", ""Dishwasher"", ""Washer"", ""TV with standard cable"", ""Bed linens""]",,30,365,1,30,365,365,9.6,365.0,,t,0,0,0,0,2024-09-11,0,0,0,,,,,,,,,,,f,193,193,0,0,
87,555947602137222223,https://www.airbnb.com/rooms/555947602137222223,20240911015516,2024-09-11,city scrape,BLUE MARINE APARTMENT ll,"Beautiful and luxurious one bedroom apartment in MADRID. It is a completely new modern and sophisticated modern space and a new apartment building with excellent qualities!! Less than 15 minutes from the gate of Puerta del Sol de Madrid and still walking from Madrid Rio!! Ideal for two people who want to come to explore the city or also if they come for work. It has WiFi, an elevator, and meets all guests' needs. Do not hesitate and book. You will love it!",,https://a0.muscache.com/pictures/miso/Hosting-555246181880584198/original/a87894fd-25ce-47bc-a3b4-b3cbd9c79cb1.jpeg,52530675,https://www.airbnb.com/users/show/52530675,Esther,2015-12-28,,,within a day,70%,52%,f,https://a0.muscache.com/im/pictures/user/159fa27d-ce28-4d93-8a16-e3b594cabc9a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/159fa27d-ce28-4d93-8a16-e3b594cabc9a.jpg?aki_policy=profile_x_medium,,51.0,78.0,['phone'],t,t,,Orcasur,Usera,40.3818,-3.69288,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Pets allowed"", ""TV"", ""Cleaning products"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Cooking basics"", ""Clothing storage: closet"", ""Air conditioning"", ""Dishes and silverware"", ""Washer"", ""Essentials"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Paid parking on premises"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Iron""]",$85.00,4,365,4,4,365,365,4.0,365.0,,t,26,56,86,361,2024-09-11,22,7,0,2022-03-30,2024-06-06,4.59,4.59,4.59,4.77,4.59,4.18,4.32,,f,41,41,0,0,0.74
94,940624284062686986,https://www.airbnb.com/rooms/940624284062686986,20240911015516,2024-09-11,city scrape,Habita con terraza casa jóvenes,"We are Martín and Irene, we have a two-storey house with patio. We give you a room with its own terrace + kitchen and bathroom shared. <br /><br />We are 24 and 27 years old and can teach you unique things about the city. Where to go out or do sightseeing.<br /><br />We have the metro nearby and you can get to Downtown immediately ( 15-20 mins including the Paseo<br />)<br />We have a puppy named Chancho because it looks like a piggy.",,https://a0.muscache.com/pictures/9cc42051-049c-4330-a2be-cb724a0a2860.jpg,100419897,https://www.airbnb.com/users/show/100419897,Martin Alexander,2016-10-19,"Madrid, Spain",Desde Madrid con amor.,within a day,50%,50%,f,https://a0.muscache.com/im/pictures/user/65d77772-3b11-4409-abf5-10e8dd47fcf6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/65d77772-3b11-4409-abf5-10e8dd47fcf6.jpg?aki_policy=profile_x_medium,,2.0,2.0,['phone'],t,t,,Cármenes,Latina,40.3987,-3.73795,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Pets allowed"", ""TV"", ""Backyard"", ""Kitchen"", ""Wifi"", ""Cooking basics"", ""Outdoor dining area"", ""Free parking on premises"", ""Smoking allowed"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Essentials"", ""Bed linens"", ""Drying rack for clothing"", ""Garden view"", ""Fire extinguisher"", ""Dedicated workspace""]",$31.00,1,125,1,1,125,125,1.0,125.0,,t,25,55,85,265,2024-09-11,7,7,0,2023-10-06,2023-12-17,4.14,4.71,3.29,4.86,4.86,4.14,4.29,,f,2,0,2,0,0.61
161,50109865,https://www.airbnb.com/rooms/50109865,20240911015516,2024-09-11,previous scrape,"Habitación con buena iluminación, exterior","Hello!! This room is suitable for you! It has good lighting, outdoor furnished room.  <br />-Very well connected: You have a narrow Metro (Line 1). Buses  124,126, 128. - Supermarkets nearby (Day 1min, Mercadona or 4Mim, bookstore 1min,restaurants nearby, fashion stores, and gym<br />- At 10min you have the Bernabéu walking<br />- And the English cut. You have wifi, you can cook, feel comfortable at home.",,https://a0.muscache.com/pictures/7c85a9ee-070e-4aca-8964-a7e2fed76cc1.jpg,403902850,https://www.airbnb.com/users/show/403902850,Yésica,2021-05-27,"Madrid, Spain",,within a day,50%,50%,f,https://a0.muscache.com/im/pictures/user/User/original/88462b43-dd21-49a7-8070-e686d4916399.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/88462b43-dd21-49a7-8070-e686d4916399.jpeg?aki_policy=profile_x_medium,,1.0,3.0,"['email', 'phone']",t,f,,Cuatro Caminos,Tetuán,40.45547,-3.70035,Private room in casa particular,Private room,1,,1 shared bath,,,"[""Wifi"", ""Shampoo"", ""Lock on bedroom door"", ""Body soap"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens""]",,1,365,1,1,1125,1125,1.0,1125.0,,,0,0,0,0,2024-09-11,0,0,0,,,,,,,,,,,f,1,0,1,0,
166,688047317652998064,https://www.airbnb.com/rooms/688047317652998064,20240911015516,2024-09-11,city scrape,Apartamento 1 dormitorio en Malasaña,"This unique home has its own personality, quiet, outdoors",,https://a0.muscache.com/pictures/miso/Hosting-688047317652998064/original/f07596a6-226c-4621-b63f-8f4722a916d6.jpeg,9998218,https://www.airbnb.com/users/show/9998218,Havi,2013-11-13,"Madrid, Spain",46 años español,within a day,50%,35%,f,https://a0.muscache.com/im/pictures/user/d213a4c3-875b-4234-b64d-c00ea6ddaf1c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d213a4c3-875b-4234-b64d-c00ea6ddaf1c.jpg?aki_policy=profile_x_medium,,2.0,2.0,"['email', 'phone']",t,t,,Universidad,Centro,40.4251,-3.70237,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Toaster"", ""Breakfast"", ""TV"", ""Shower gel"", ""Single oven"", ""Private entrance"", ""Cleaning products"", ""Kitchen"", ""Wifi"", ""Coffee maker: drip coffee maker"", ""Private patio or balcony"", ""Microwave"", ""Coffee"", ""Dishes and silverware"", ""Refrigerator"", ""Shampoo"", ""Portable fans"", ""Essentials"", ""Hot water"", ""City skyline view"", ""Body soap"", ""Elevator"", ""Iron"", ""Freezer""]",$100.00,1,365,1,1,365,365,1.0,365.0,,t,1,1,1,1,2024-09-11,41,15,0,2022-09-13,2024-04-29,4.73,4.83,4.61,4.98,4.98,4.93,4.54,,f,2,2,0,0,1.68
169,1248292,https://www.airbnb.com/rooms/1248292,20240911015516,2024-09-11,city scrape,Best Deal GOYA SUITE Historic SOL,,,https://a0.muscache.com/pictures/18807129/81ed8536_original.jpg,6566447,https://www.airbnb.com/users/show/6566447,Marga Casanova,2013-05-25,"Madrid, Spain","Bienvenidos al mundo de Marga Casanova! Soy Marga, diseñadora de interiores, española nacida en Madrid. Mi trayectoria comenzó con el diseño y distribución de textil hogar, que siempre esta muy presente en mis proyectos. Otra parte importante en mis obras son las tapicerías  herencia de mi abuelo propietario de una de las mejores empresas del sector en los años 60.
Me encanta viajar, tengo grandes amigos en Portugal, Bélgica e Italia…donde me siento como en casa. Así me gustaría recibir a mis nuevos huéspedes en Madrid Boutique Suites: cinco apartamentos vacacionales diseñados con elegancia clásica y elementos de diseño puntuales. Todo un eclecticismo reflejo de un Madrid cultural, elegante y moderno a su vez. Situados en la mejor ubicación posible, justo en la puerta del Sol, centro neurálgico de la ciudad. 
Con una comunicación abierta y plena confianza,te atenderemos personalmente para un feliz hospedaje  en Madrid. 
Airbnb nos hace llegar hasta ti para que sueñes tu estancia con  las mejores fotos profesionales de  nuestros espacios Marga Casanova!!!
Welcome to Marga Casanova´s world! I am Marga, an interior designer, Spanish, born in Madrid My career began with the design and distribution of home textiles, which is always present in my projects. Another important part of my works are the fabric an heritage of my grandfather, the  owner of one of the best companies of the sector in the 60s.
I love traveling, I have great friends in Portugal, Belgium and Italy ... where I feel at home. So I would like to wellcome my new hosters  at Madrid  Boutique Suites:, four vacacional rental  designed with classic elegance and specific design elements. Eclectic atmophere which reflects a cultural ,elegant and modern Madrid, at the same time. Located in the best possible location, right on Puerta del Sol, the heart of the city.
With an open comunication and the confident that the guest will enjoyed, We will personally attend you to a happy stay in Madrid.
Airbnb makes us come to you to dream your stay with the best professional photos of our spaces Marga Casanova!



",within a day,100%,72%,f,https://a0.muscache.com/im/users/6566447/profile_pic/1425412493/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6566447/profile_pic/1425412493/original.jpg?aki_policy=profile_x_medium,Sol,3.0,3.0,"['email', 'phone']",t,t,,Sol,Centro,40.41884,-3.702,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Heating"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Hangers"", ""TV"", ""Washer"", ""Elevator"", ""Iron"", ""Smart lock""]",$130.00,2,90,2,2,90,90,2.0,90.0,,t,6,10,31,294,2024-09-11,282,19,0,2013-07-31,2024-07-08,4.64,4.74,4.83,4.74,4.77,4.75,4.63,VT- 8770,f,3,3,0,0,2.08
170,1141216745207583849,https://www.airbnb.com/rooms/1141216745207583849,20240911015516,2024-09-11,city scrape,Loft Duplex Puerta de Toledo 2,Enjoy the simplicity of this quiet and central place.,,https://a0.muscache.com/pictures/miso/Hosting-1080506256900034380/original/4e955cef-a4fc-4300-99cd-e7555f9215c8.jpeg,446760611,https://www.airbnb.com/users/show/446760611,Raul,2022-02-25,,Asesor inmobiliario ,within a day,61%,37%,f,https://a0.muscache.com/im/pictures/user/5d8de3c3-b681-4534-834b-9efa2d11ab54.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5d8de3c3-b681-4534-834b-9efa2d11ab54.jpg?aki_policy=profile_x_medium,,42.0,49.0,['phone'],t,t,,Acacias,Arganzuela,40.4042,-3.70574,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Heating"", ""Hair dryer"", ""TV"", ""Hot water kettle"", ""Shower gel"", ""Cleaning products"", ""Kitchen"", ""Clothing storage"", ""Wifi"", ""Cooking basics"", ""Microwave"", ""Stove"", ""Dishes and silverware"", ""Shampoo"", ""Mini fridge"", ""Washer"", ""Portable fans"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Coffee maker"", ""Drying rack for clothing"", ""Body soap"", ""Iron"", ""Dedicated workspace""]",$42.00,14,365,14,14,365,365,14.0,365.0,,t,20,50,80,260,2024-09-11,5,5,1,2024-06-02,2024-08-19,4.6,4.6,4.6,4.6,4.8,4.8,4.0,,f,34,34,0,0,1.47
172,944870332284445327,https://www.airbnb.com/rooms/944870332284445327,20240911015516,2024-09-11,city scrape,Jardines de Tetuán VII,"This cozy apartment is located in the building Jardines de Tetuán, a residential built in 2023 that has a swimming pool and common areas. The interior of the apartment has been designed by our interior design team, which has sought to give the spaces a modern and fresh style thanks to the combination of different shades and textures in the chosen furniture.",,https://a0.muscache.com/pictures/prohost-api/Hosting-944870332284445327/original/a68f7241-9d6b-4544-acb8-dd4581aff2a4.jpeg,438136382,https://www.airbnb.com/users/show/438136382,Home Club,2021-12-30,"Madrid, Spain","At Home Club, all of our properties have been hand selected to ensure they meet our high standards for stylish interior design, state-of-the-art appliances, and premium amenities. Our team has thought of all the details when it comes to our homes, when you move in you’ll find everything from kitchenware to toiletries. Every reservation with us also includes 24/7 customer service so you can rest easy knowing our team is always available to help you. From the moment you call our reservations team, you will receive personalized care, including being either personally greeted by a Home Club team member or given comprehensive self-check-in instructions. Contact us today to reserve your move-in-ready home in the best neighborhoods of Spain. ",within a day,54%,46%,f,https://a0.muscache.com/im/pictures/user/70a3fe38-1c61-4d7a-9842-06853769231a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/70a3fe38-1c61-4d7a-9842-06853769231a.jpg?aki_policy=profile_x_medium,,272.0,339.0,"['email', 'phone']",t,t,,Valdeacederas,Tetuán,40.4674266357984,-3.70110407768405,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""Air conditioning"", ""Heating"", ""Dishwasher"", ""Wifi"", ""TV"", ""Washer"", ""Free parking on premises"", ""Bed linens""]",$136.00,30,365,30,30,365,365,30.0,365.0,,t,9,39,69,344,2024-09-11,0,0,0,,,,,,,,,,,f,193,193,0,0,
192,1214672814362519027,https://www.airbnb.com/rooms/1214672814362519027,20240911015516,2024-09-11,city scrape,Apartamento para 2 personas,Enjoy the simplicity of this quiet and central accommodation. Next to the Santiago Bernabéu stadium..,,https://a0.muscache.com/pictures/hosting/Hosting-1214672814362519027/original/5c58033b-24bd-48b1-b024-0818c38b26a9.jpeg,402044260,https://www.airbnb.com/users/show/402044260,Cristina,2021-05-17,"Madrid, Spain",Soy,within a day,60%,64%,f,https://a0.muscache.com/im/pictures/user/d990e89d-7be9-4b16-9323-901c990cfa16.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d990e89d-7be9-4b16-9323-901c990cfa16.jpg?aki_policy=profile_x_medium,,2.0,2.0,['phone'],t,t,,Castillejos,Tetuán,40.460821066566176,-3.6955480731252623,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Pets allowed"", ""TV"", ""Wine glasses"", ""Exterior security cameras on property"", ""Kitchen"", ""Sound system"", ""Free parking on premises"", ""Host greets you"", ""Smoking allowed"", ""Air conditioning"", ""Dishes and silverware"", ""Mini fridge"", ""Washer"", ""Coffee maker"", ""Bed linens"", ""Drying rack for clothing"", ""Iron""]",$119.00,1,365,1,1,365,365,1.0,365.0,,t,27,56,83,83,2024-09-11,1,1,1,2024-09-08,2024-09-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,2,0,0,1.0
